node_num,x,y,z
100048,-15.328125,14.994791666666666,14.791666666666666
110048,-15.328125,14.994791666666666,14.791666666666666
200048,-15.328125,14.994791666666666,14.791666666666666
210048,-15.328125,14.994791666666666,14.791666666666666
300048,-15.328125,14.994791666666666,14.791666666666666
310048,-15.328125,14.994791666666666,14.791666666666666
100049,15.328125,-14.994791666666666,30.166666666666668
110049,15.328125,-14.994791666666666,30.166666666666668
200049,15.328125,-14.994791666666666,30.166666666666668
210049,15.328125,-14.994791666666666,30.166666666666668
300049,15.328125,-14.994791666666666,30.166666666666668
310049,15.328125,-14.994791666666666,30.166666666666668
320049,15.328125,-14.994791666666666,30.166666666666668
330049,15.328125,-14.994791666666666,30.166666666666668
340049,15.328125,-14.994791666666666,30.166666666666668
350049,15.328125,-14.994791666666666,30.166666666666668
360049,15.328125,-14.994791666666666,30.166666666666668
370049,15.328125,-14.994791666666666,30.166666666666668
100050,15.328125,-4.0,30.166666666666668
110050,15.328125,-4.0,30.166666666666668
200050,15.328125,-4.0,30.166666666666668
210050,15.328125,-4.0,30.166666666666668
220050,15.328125,-4.0,30.166666666666668
300050,15.328125,-4.0,30.166666666666668
310050,15.328125,-4.0,30.166666666666668
100051,15.328125,4.0,30.166666666666668
110051,15.328125,4.0,30.166666666666668
200051,15.328125,4.0,30.166666666666668
210051,15.328125,4.0,30.166666666666668
220051,15.328125,4.0,30.166666666666668
300051,15.328125,4.0,30.166666666666668
310051,15.328125,4.0,30.166666666666668
100052,15.328125,14.994791666666666,30.166666666666668
110052,15.328125,14.994791666666666,30.166666666666668
200052,15.328125,14.994791666666666,30.166666666666668
210052,15.328125,14.994791666666666,30.166666666666668
300052,15.328125,14.994791666666666,30.166666666666668
310052,15.328125,14.994791666666666,30.166666666666668
320052,15.328125,14.994791666666666,30.166666666666668
330052,15.328125,14.994791666666666,30.166666666666668
340052,15.328125,14.994791666666666,30.166666666666668
350052,15.328125,14.994791666666666,30.166666666666668
360052,15.328125,14.994791666666666,30.166666666666668
370052,15.328125,14.994791666666666,30.166666666666668
100053,4.0,-14.994791666666666,30.166666666666668
110053,4.0,-14.994791666666666,30.166666666666668
200053,4.0,-14.994791666666666,30.166666666666668
210053,4.0,-14.994791666666666,30.166666666666668
220053,4.0,-14.994791666666666,30.166666666666668
300053,4.0,-14.994791666666666,30.166666666666668
310053,4.0,-14.994791666666666,30.166666666666668
100054,4.0,-4.0,30.166666666666668
110054,4.0,-4.0,30.166666666666668
200054,4.0,-4.0,30.166666666666668
210054,4.0,-4.0,30.166666666666668
220054,4.0,-4.0,30.166666666666668
230054,4.0,-4.0,30.166666666666668
100055,4.0,4.0,30.166666666666668
110055,4.0,4.0,30.166666666666668
200055,4.0,4.0,30.166666666666668
210055,4.0,4.0,30.166666666666668
220055,4.0,4.0,30.166666666666668
230055,4.0,4.0,30.166666666666668
100056,4.0,14.994791666666666,30.166666666666668
110056,4.0,14.994791666666666,30.166666666666668
200056,4.0,14.994791666666666,30.166666666666668
210056,4.0,14.994791666666666,30.166666666666668
220056,4.0,14.994791666666666,30.166666666666668
300056,4.0,14.994791666666666,30.166666666666668
310056,4.0,14.994791666666666,30.166666666666668
100057,-4.0,-14.994791666666666,30.166666666666668
110057,-4.0,-14.994791666666666,30.166666666666668
200057,-4.0,-14.994791666666666,30.166666666666668
210057,-4.0,-14.994791666666666,30.166666666666668
220057,-4.0,-14.994791666666666,30.166666666666668
300057,-4.0,-14.994791666666666,30.166666666666668
310057,-4.0,-14.994791666666666,30.166666666666668
100058,-4.0,-4.0,30.166666666666668
110058,-4.0,-4.0,30.166666666666668
200058,-4.0,-4.0,30.166666666666668
210058,-4.0,-4.0,30.166666666666668
220058,-4.0,-4.0,30.166666666666668
230058,-4.0,-4.0,30.166666666666668
100059,-4.0,4.0,30.166666666666668
